	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	185609	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	704395	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1865524	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	52	8294123	0.63
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	201645	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	725391	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	16	1873092	0.85
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	55	8749568	0.63
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	166441	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	783164	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1607122	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	87	8008879	1.09
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	180356	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740179	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	16	1522044	1.05
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	86	8384889	1.03
	"Oral Cavity and Pharynx"	"20010-20100"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	189687	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	715732	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1906528	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	58	8327632	0.70
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	204438	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740774	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1937758	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	43	8803235	0.49
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	167764	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	801076	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	18	1638249	1.10
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	84	8031834	1.05
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	182631	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	764751	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1568287	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	84	8421544	1.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	192436	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	723705	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1918919	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	56	8324411	0.67
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	205137	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	751654	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1967515	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	41	8808541	0.47
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	170689	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	830936	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	17	1697158	1.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	87	8112408	1.07
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	186463	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	16	796837	2.01
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1641795	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	87	8519885	1.02
	"Oral Cavity and Pharynx"	"20010-20100"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	191744	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	730700	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1892436	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	49	8233212	0.60
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	203054	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	758250	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1954931	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	44	8728699	0.50
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	175082	0.00
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	861557	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1767592	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	89	8218027	1.08
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	191395	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	831042	Suppressed
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	22	1727399	1.27
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	82	8629074	0.95
	"Oral Cavity and Pharynx"	"20010-20100"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	174104	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	659089	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1729210	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8068476	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	190981	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	675384	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1694914	0.00
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8512391	Suppressed
	"Lip"	"20010"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	164345	0.00
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	753885	0.00
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1574098	0.00
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	7990881	Suppressed
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	176402	0.00
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	695648	0.00
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1460639	0.00
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8329334	Suppressed
	"Lip"	"20010"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	179574	0.00
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	685056	0.00
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1802545	0.00
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8192397	Suppressed
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	195917	0.00
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	701969	0.00
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1785843	Suppressed
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8625852	0.00
	"Lip"	"20010"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	165397	0.00
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	770496	0.00
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1588857	0.00
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8012850	Suppressed
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	720044	0.00
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1488070	0.00
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8363715	Suppressed
	"Lip"	"20010"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	185609	0.00
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	704395	0.00
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1865524	Suppressed
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8294123	Suppressed
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	201645	0.00
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	725391	0.00
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1873092	Suppressed
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8749568	0.00
	"Lip"	"20010"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	166441	0.00
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	783164	0.00
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1607122	0.00
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8008879	Suppressed
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	180356	0.00
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	740179	0.00
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1522044	0.00
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8384889	Suppressed
	"Lip"	"20010"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	189687	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	715732	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1906528	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	0	8327632	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740774	Suppressed
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1937758	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	0	8803235	0.00
	"Lip"	"20010"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Lip"	"20010"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	167764	0.00
	"Lip"	"20010"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	801076	0.00
	"Lip"	"20010"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	0	1638249	0.00
	"Lip"	"20010"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8031834	Suppressed
	"Lip"	"20010"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
